"ID","MESSAGE__C"
"a1M1N000005drGjUAI","{""errors"":[{""code"":""Global.Internal.Error"",""description"":""Unspecified Error on the system which prevented execution."",""message"":""System.InvalidOperationException: System.ArgumentException: id\r\nParameter name: Record associated with home institution can not be returned.\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationRepository.<GetExternalEducationByIdAsync>d__6.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationRepository.cs:line 142\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationRepository.<GetExternalEducationByGuidAsync>d__4.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationRepository.cs:line 84\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationN19Repository.<CreateAsync>d__2.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationN19Repository.cs:line 43\r\n   at Ellucian.Colleague.Data.Student.Repositories.ExternalEducationN19Repository.<CreateAsync>d__2.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Data.Student\\Repositories\\ExternalEducationN19Repository.cs:line 54\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Ellucian.Colleague.Coordination.Student.Services.ExternalEducationN19Service.<PostExternalEducationAsync>d__12.MoveNext() in C:\\AppOpsAgent\\_work\\23\\s\\Ellucian.Colleague.Api\\Ellucian.Colleague.Coordination.Student\\Services\\ExternalEducationN19Service.cs:line 64""}]}"
"a1M1N000005drJrUAI","a1U1N00000JExwsUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1085969e-27c3-4bbc-a360-559c447af7b7 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drJwUAI","a1U1N00000JExx2UAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drK1UAI","a1U1N00000JExx1UAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drJmUAI","a1U1N00000JExx0UAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drK6UAI","a1U1N00000JExwxUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drKLUAY","a1U1N00000JExwyUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drLdUAI","a1U1N00000JExyeUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: aac6f232-23d5-4fbf-b4e8-9ce37991f058 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drMbUAI","a1U1N00000JExzkUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 75bf6091-86cb-476b-915e-024ddaa074a0 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.FinancialAidDetailsParser.processContent: line 1029, column 1
Class.APEX2OBJECT_Parser.FinancialAidDetailsParser.inboundParser: line 980, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drP6UAI","a1U1N00000JEy1vUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: d504220f-ebe3-40ae-bb7b-848737b5093c not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
